Collar ID,Acq. Time [LMT],Acq. Time [UTC],SCTS [UTC],SCTS [LMT],Activity,Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Easting,Northing,Mortality Status,Temp[°C],Main[V],Beacon [V]
48918,2023-07-27 08:00:44+08:00,2023-07-27 00:00:44,2023-07-27 00:01:21,2023-07-27 08:01:21+08:00,,Iridium,39.00791,97.31075,3689,2.4,3D Validated,353737,4319012,Nothing Detected,15,3.28,3.68
48918,2023-07-27 06:00:42+08:00,2023-07-26 22:00:42,2023-07-27 00:01:21,2023-07-27 08:01:21+08:00,,Iridium,39.00882,97.31082,3775,2,3D Validated,353745,4319113,Nothing Detected,11,3.28,3.68
48918,2023-07-27 04:00:37+08:00,2023-07-26 20:00:37,2023-07-27 00:01:21,2023-07-27 08:01:21+08:00,,Iridium,39.00919,97.31009,3613,2.2,3D Validated,353682,4319154,Nothing Detected,14,3.28,3.68
48918,2023-07-27 02:01:08+08:00,2023-07-26 18:01:08,2023-07-27 00:01:21,2023-07-27 08:01:21+08:00,,Iridium,39.01059,97.31010,3589,3.8,3D Validated,353686,4319310,Nothing Detected,18,3.28,3.68
48918,2023-07-24 00:00:37+08:00,2023-07-23 16:00:37,2023-07-23 16:01:27,2023-07-24 00:01:27+08:00,,Iridium,39.01644,97.31751,3502,2,3D Validated,354340,4319947,Nothing Detected,14,3.36,3.68
48918,2023-07-23 22:00:44+08:00,2023-07-23 14:00:44,2023-07-23 16:01:27,2023-07-24 00:01:27+08:00,,Iridium,39.01670,97.31744,3478,5.4,3D Validated,354334,4319977,Nothing Detected,17,3.36,3.68
48918,2023-07-23 20:00:45+08:00,2023-07-23 12:00:45,2023-07-23 16:01:27,2023-07-24 00:01:27+08:00,,Iridium,39.01677,97.31768,3527,6.8,3D Validated,354355,4319984,Nothing Detected,20,3.28,3.68
48918,2023-07-23 18:00:44+08:00,2023-07-23 10:00:44,2023-07-23 16:01:27,2023-07-24 00:01:27+08:00,,Iridium,39.01672,97.31754,3486,3.4,3D Validated,354342,4319978,Nothing Detected,22,3.28,3.68
48918,2023-07-23 16:00:53+08:00,2023-07-23 08:00:53,2023-07-23 08:01:21,2023-07-23 16:01:21+08:00,,Iridium,39.01642,97.31751,3454,7.4,3D Validated,354340,4319945,Nothing Detected,23,3.28,3.68
48918,2023-07-23 14:01:01+08:00,2023-07-23 06:01:01,2023-07-23 08:01:21,2023-07-23 16:01:21+08:00,,Iridium,39.01635,97.31759,3423,3.8,3D Validated,354346,4319937,Nothing Detected,23,3.28,3.68
48918,2023-07-23 12:01:17+08:00,2023-07-23 04:01:17,2023-07-23 08:01:21,2023-07-23 16:01:21+08:00,,Iridium,39.01647,97.31753,3469,5.8,3D Validated,354341,4319951,Nothing Detected,21,3.28,3.68
48918,2023-07-23 10:00:42+08:00,2023-07-23 02:00:42,2023-07-23 08:01:21,2023-07-23 16:01:21+08:00,,Iridium,39.01617,97.31527,3522,3.6,3D Validated,354145,4319922,Nothing Detected,28,3.28,3.68
48918,2023-07-23 08:03:00+08:00,2023-07-23 00:03:00,2023-07-23 08:01:28,2023-07-23 16:01:28+08:00,,Iridium,,,,0,No Fix,,,Nothing Detected,18,3.28,3.68
48918,2023-07-23 06:00:47+08:00,2023-07-22 22:00:47,2023-07-23 08:01:28,2023-07-23 16:01:28+08:00,,Iridium,39.01425,97.31190,3583,6.8,3D Validated,353850,4319713,Nothing Detected,17,3.36,3.68
48918,2023-07-23 04:03:00+08:00,2023-07-22 20:03:00,2023-07-23 08:01:28,2023-07-23 16:01:28+08:00,,Iridium,39.01421,97.31181,3557,10.2,3D,353842,4319709,Nothing Detected,16,3.28,3.68
48918,2023-07-23 02:01:35+08:00,2023-07-22 18:01:35,2023-07-23 08:01:28,2023-07-23 16:01:28+08:00,,Iridium,39.01415,97.31174,3562,10,3D Validated,353835,4319702,Nothing Detected,17,3.28,3.68
48918,2023-07-23 00:00:37+08:00,2023-07-22 16:00:37,2023-07-23 08:01:36,2023-07-23 16:01:36+08:00,,Iridium,39.01415,97.31187,3571,3.8,3D Validated,353846,4319702,Nothing Detected,18,3.28,3.68
48918,2023-07-22 22:00:42+08:00,2023-07-22 14:00:42,2023-07-23 08:01:36,2023-07-23 16:01:36+08:00,,Iridium,39.01409,97.31192,3559,2.6,3D Validated,353851,4319696,Nothing Detected,16,3.28,3.68
48918,2023-07-22 20:00:46+08:00,2023-07-22 12:00:46,2023-07-23 08:01:36,2023-07-23 16:01:36+08:00,,Iridium,39.01428,97.31198,3582,4.6,3D Validated,353856,4319716,Nothing Detected,20,3.28,3.68
48918,2023-07-22 18:00:38+08:00,2023-07-22 10:00:38,2023-07-23 08:01:36,2023-07-23 16:01:36+08:00,,Iridium,39.01417,97.31187,3565,2.8,3D Validated,353847,4319704,Nothing Detected,24,3.28,3.68
48918,2023-07-22 16:01:57+08:00,2023-07-22 08:01:57,2023-07-23 08:01:45,2023-07-23 16:01:45+08:00,,Iridium,39.01408,97.31183,3572,8.4,3D Validated,353843,4319694,Nothing Detected,19,3.28,3.68
48918,2023-07-22 14:00:42+08:00,2023-07-22 06:00:42,2023-07-23 08:01:45,2023-07-23 16:01:45+08:00,,Iridium,39.01419,97.31190,3565,2.4,3D Validated,353849,4319707,Nothing Detected,29,3.28,3.68
48918,2023-07-22 12:00:37+08:00,2023-07-22 04:00:37,2023-07-23 08:01:45,2023-07-23 16:01:45+08:00,,Iridium,39.01394,97.31177,3590,5,3D Validated,353838,4319680,Nothing Detected,39,3.28,3.6
48918,2023-07-22 10:00:17+08:00,2023-07-22 02:00:17,2023-07-23 08:01:45,2023-07-23 16:01:45+08:00,,Iridium,39.01395,97.31176,3583,4.4,3D Validated,353837,4319680,Nothing Detected,17,3.36,3.68
48918,2023-07-22 08:00:38+08:00,2023-07-22 00:00:38,2023-07-22 00:01:05,2023-07-22 08:01:05+08:00,,Iridium,39.01348,97.31203,3635,1.8,3D Validated,353859,4319628,Nothing Detected,18,3.28,3.68
48918,2023-07-22 06:00:42+08:00,2023-07-21 22:00:42,2023-07-22 00:01:05,2023-07-22 08:01:05+08:00,,Iridium,39.01737,97.31738,3416,2,3D Validated,354330,4320051,Nothing Detected,13,3.28,3.68
48918,2023-07-22 04:00:18+08:00,2023-07-21 20:00:18,2023-07-22 00:01:05,2023-07-22 08:01:05+08:00,,Iridium,39.01514,97.31922,3657,4.4,3D Validated,354485,4319801,Nothing Detected,13,3.28,3.68
48918,2023-07-22 02:00:37+08:00,2023-07-21 18:00:37,2023-07-22 00:01:05,2023-07-22 08:01:05+08:00,,Iridium,39.01880,97.32066,3581,1.2,3D Validated,354617,4320205,Nothing Detected,12,3.28,3.68
48918,2023-07-22 00:00:16+08:00,2023-07-21 16:00:16,2023-07-22 00:01:14,2023-07-22 08:01:14+08:00,,Iridium,39.01899,97.32064,3577,4.2,3D Validated,354616,4320226,Nothing Detected,17,3.28,3.68
48918,2023-07-21 22:00:37+08:00,2023-07-21 14:00:37,2023-07-22 00:01:14,2023-07-22 08:01:14+08:00,,Iridium,39.02105,97.32188,3471,2.2,3D Validated,354728,4320452,Nothing Detected,18,3.28,3.68
48918,2023-07-21 20:03:00+08:00,2023-07-21 12:03:00,2023-07-22 00:01:14,2023-07-22 08:01:14+08:00,,Iridium,,,,0,No Fix,,,Nothing Detected,21,3.28,3.68
48918,2023-07-21 18:03:00+08:00,2023-07-21 10:03:00,2023-07-22 00:01:14,2023-07-22 08:01:14+08:00,,Iridium,,,,0,No Fix,,,Nothing Detected,20,3.28,3.68
48918,2023-07-21 16:03:00+08:00,2023-07-21 08:03:00,2023-07-21 08:03:24,2023-07-21 16:03:24+08:00,,Iridium,,,,0,No Fix,,,Nothing Detected,24,3.2,3.6
48918,2023-07-21 14:03:00+08:00,2023-07-21 06:03:00,2023-07-21 08:03:24,2023-07-21 16:03:24+08:00,,Iridium,,,,0,No Fix,,,Nothing Detected,19,3.28,3.68
48918,2023-07-21 12:00:36+08:00,2023-07-21 04:00:36,2023-07-21 08:03:24,2023-07-21 16:03:24+08:00,,Iridium,39.02192,97.31976,3354,3,3D Validated,354546,4320552,Nothing Detected,21,3.28,3.68
48918,2023-07-21 10:00:37+08:00,2023-07-21 02:00:37,2023-07-21 08:03:24,2023-07-21 16:03:24+08:00,,Iridium,39.02197,97.31973,3341,3,3D Validated,354543,4320557,Nothing Detected,13,3.28,3.68
48918,2023-07-21 08:00:44+08:00,2023-07-21 00:00:44,2023-07-22 00:01:22,2023-07-22 08:01:22+08:00,,Iridium,39.02193,97.31977,3365,2,3D Validated,354547,4320554,Nothing Detected,11,3.28,3.68
48918,2023-07-21 06:00:44+08:00,2023-07-20 22:00:44,2023-07-22 00:01:22,2023-07-22 08:01:22+08:00,,Iridium,39.02192,97.31973,3345,2.4,3D Validated,354543,4320552,Nothing Detected,17,3.28,3.68
48918,2023-07-21 04:00:44+08:00,2023-07-20 20:00:44,2023-07-22 00:01:22,2023-07-22 08:01:22+08:00,,Iridium,39.02195,97.31978,3338,2.4,3D Validated,354547,4320555,Nothing Detected,11,3.28,3.68
48918,2023-07-21 02:00:44+08:00,2023-07-20 18:00:44,2023-07-22 00:01:22,2023-07-22 08:01:22+08:00,,Iridium,39.02187,97.31973,3354,3.6,3D Validated,354543,4320547,Nothing Detected,16,3.28,3.68
48918,2023-07-21 00:00:42+08:00,2023-07-20 16:00:42,2023-07-20 16:01:15,2023-07-21 00:01:15+08:00,,Iridium,39.03048,97.31892,3097,2.8,3D Validated,354490,4321503,Nothing Detected,16,3.28,3.68
48918,2023-07-20 22:00:37+08:00,2023-07-20 14:00:37,2023-07-20 16:01:15,2023-07-21 00:01:15+08:00,,Iridium,39.02347,97.31845,3355,2,3D Validated,354435,4320726,Nothing Detected,17,3.28,3.68
48918,2023-07-20 20:00:55+08:00,2023-07-20 12:00:55,2023-07-20 16:01:15,2023-07-21 00:01:15+08:00,,Iridium,39.02242,97.31900,3289,4.8,3D Validated,354481,4320609,Nothing Detected,23,3.28,3.68
48918,2023-07-20 18:02:08+08:00,2023-07-20 10:02:08,2023-07-20 16:01:15,2023-07-21 00:01:15+08:00,,Iridium,39.02187,97.31987,3332,5.8,3D Validated,354555,4320546,Nothing Detected,23,3.28,3.68
48918,2023-07-20 16:03:00+08:00,2023-07-20 08:03:00,2023-07-20 16:01:25,2023-07-21 00:01:25+08:00,,Iridium,,,,0,No Fix,,,Nothing Detected,19,3.28,3.68
48918,2023-07-20 14:03:00+08:00,2023-07-20 06:03:00,2023-07-20 16:01:25,2023-07-21 00:01:25+08:00,,Iridium,,,,0,No Fix,,,Nothing Detected,23,3.2,3.6
48918,2023-07-20 12:03:00+08:00,2023-07-20 04:03:00,2023-07-20 16:01:25,2023-07-21 00:01:25+08:00,,Iridium,,,,0,No Fix,,,Nothing Detected,26,3.28,3.68
48918,2023-07-20 10:00:44+08:00,2023-07-20 02:00:44,2023-07-20 16:01:25,2023-07-21 00:01:25+08:00,,Iridium,39.02190,97.31940,3344,4,3D Validated,354514,4320551,Nothing Detected,18,3.28,3.68
48918,2023-07-20 08:00:40+08:00,2023-07-20 00:00:40,2023-07-20 16:01:35,2023-07-21 00:01:35+08:00,,Iridium,39.02191,97.31940,3345,2.8,3D Validated,354514,4320552,Nothing Detected,17,3.28,3.68
48918,2023-07-20 06:00:38+08:00,2023-07-19 22:00:38,2023-07-20 16:01:35,2023-07-21 00:01:35+08:00,,Iridium,39.02197,97.31973,3347,1.8,3D Validated,354543,4320558,Nothing Detected,16,3.28,3.68
48918,2023-07-20 04:00:42+08:00,2023-07-19 20:00:42,2023-07-20 16:01:35,2023-07-21 00:01:35+08:00,,Iridium,39.02199,97.31964,3345,2,3D Validated,354535,4320560,Nothing Detected,11,3.28,3.68
48918,2023-07-20 02:00:38+08:00,2023-07-19 18:00:38,2023-07-20 16:01:35,2023-07-21 00:01:35+08:00,,Iridium,39.02194,97.31965,3351,3,3D Validated,354536,4320555,Nothing Detected,15,3.28,3.68
48918,2023-07-20 00:00:37+08:00,2023-07-19 16:00:37,2023-07-19 16:01:10,2023-07-20 00:01:10+08:00,,Iridium,39.02190,97.31972,3348,3.4,3D Validated,354542,4320550,Nothing Detected,15,3.28,3.68
48918,2023-07-19 22:00:37+08:00,2023-07-19 14:00:37,2023-07-19 16:01:10,2023-07-20 00:01:10+08:00,,Iridium,39.02171,97.31982,3421,2.2,3D Validated,354551,4320529,Nothing Detected,15,3.28,3.68
48918,2023-07-19 20:00:42+08:00,2023-07-19 12:00:42,2023-07-19 16:01:10,2023-07-20 00:01:10+08:00,,Iridium,39.02180,97.31973,3355,4,3D Validated,354542,4320539,Nothing Detected,19,3.28,3.68
48918,2023-07-19 18:00:37+08:00,2023-07-19 10:00:37,2023-07-19 16:01:10,2023-07-20 00:01:10+08:00,,Iridium,39.02184,97.31971,3350,2.4,3D Validated,354541,4320543,Nothing Detected,22,3.28,3.68
48918,2023-07-19 16:00:36+08:00,2023-07-19 08:00:36,2023-07-20 16:01:44,2023-07-21 00:01:44+08:00,,Iridium,39.02211,97.31955,3370,2.6,3D Validated,354528,4320573,Nothing Detected,21,3.28,3.68
48918,2023-07-19 14:00:55+08:00,2023-07-19 06:00:55,2023-07-20 16:01:44,2023-07-21 00:01:44+08:00,,Iridium,39.02245,97.31879,3434,6.4,3D Validated,354463,4320612,Nothing Detected,21,3.28,3.68
48918,2023-07-19 12:00:47+08:00,2023-07-19 04:00:47,2023-07-20 16:01:44,2023-07-21 00:01:44+08:00,,Iridium,39.02267,97.31883,3462,4.8,3D Validated,354467,4320636,Nothing Detected,18,3.28,3.68
48918,2023-07-19 10:00:39+08:00,2023-07-19 02:00:39,2023-07-20 16:01:44,2023-07-21 00:01:44+08:00,,Iridium,39.02181,97.31957,3348,2.8,3D Validated,354529,4320540,Nothing Detected,16,3.28,3.68
48918,2023-07-19 08:00:37+08:00,2023-07-19 00:00:37,2023-07-20 16:01:53,2023-07-21 00:01:53+08:00,,Iridium,39.02195,97.31956,3350,2,3D Validated,354528,4320556,Nothing Detected,15,3.28,3.68
48918,2023-07-19 06:00:42+08:00,2023-07-18 22:00:42,2023-07-20 16:01:53,2023-07-21 00:01:53+08:00,,Iridium,39.02186,97.31960,3346,2.2,3D Validated,354532,4320546,Nothing Detected,16,3.28,3.68
48918,2023-07-19 04:00:42+08:00,2023-07-18 20:00:42,2023-07-20 16:01:53,2023-07-21 00:01:53+08:00,,Iridium,39.02283,97.31861,3325,1.8,3D Validated,354448,4320655,Nothing Detected,18,3.28,3.68
48918,2023-07-19 02:00:36+08:00,2023-07-18 18:00:36,2023-07-20 16:01:53,2023-07-21 00:01:53+08:00,,Iridium,39.03007,97.32190,3098,1.8,3D Validated,354748,4321453,Nothing Detected,19,3.28,3.68
48918,2023-07-19 00:00:36+08:00,2023-07-18 16:00:36,2023-07-18 16:01:12,2023-07-19 00:01:12+08:00,,Iridium,39.02146,97.31885,3379,2.6,3D Validated,354466,4320502,Nothing Detected,19,3.28,3.68
48918,2023-07-18 22:00:38+08:00,2023-07-18 14:00:38,2023-07-18 16:01:12,2023-07-19 00:01:12+08:00,,Iridium,39.02191,97.31916,3349,1.4,3D Validated,354494,4320552,Nothing Detected,20,3.28,3.68
48918,2023-07-18 20:00:41+08:00,2023-07-18 12:00:41,2023-07-18 16:01:12,2023-07-19 00:01:12+08:00,,Iridium,39.02188,97.31938,3334,2.6,3D Validated,354513,4320548,Nothing Detected,17,3.28,3.68
48918,2023-07-18 18:00:37+08:00,2023-07-18 10:00:37,2023-07-18 16:01:12,2023-07-19 00:01:12+08:00,,Iridium,39.02187,97.31972,3348,2.2,3D Validated,354542,4320547,Nothing Detected,24,3.28,3.68
48918,2023-07-18 16:01:52+08:00,2023-07-18 08:01:52,2023-07-18 16:01:20,2023-07-19 00:01:20+08:00,,Iridium,39.02142,97.32001,3390,3.2,3D Validated,354567,4320497,Nothing Detected,20,3.28,3.68
